SubwayLocation,Price,SandwichName,TodayDate,Size
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Oven Roasted Chicken,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Oven Roasted Chicken,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Oven Roasted Chicken,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Pizza Sub with Cheese,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Pizza Sub with Cheese,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Pizza Sub with Cheese,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Roast Beef,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Roast Beef,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Roast Beef,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Spicy Italian,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Spicy Italian,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Spicy Italian,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Steak & Cheese,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Steak & Cheese,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Steak & Cheese,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Subway Club®,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Subway Club®,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Subway Club®,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Subway Melt®,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Subway Melt®,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Subway Melt®,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Sweet Onion Chicken Teriyaki,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Sweet Onion Chicken Teriyaki,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Sweet Onion Chicken Teriyaki,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Tuna,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Tuna,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Tuna,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Breast,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Breast,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Breast,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Breast & Black Forest Ham,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Breast & Black Forest Ham,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Breast & Black Forest Ham,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Italiano Melt,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Italiano Melt,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Italiano Melt,2015-08-14 00:42:58.158000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Veggie Delite®,2015-08-14 00:42:58.158000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Veggie Delite®,2015-08-14 00:42:58.158000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Veggie Delite®,2015-08-14 00:42:58.158000,CHOPPED SALAD
SubwayLocation,Price,SandwichName,TodayDate,Size
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,B.L.T.,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,B.L.T.,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,B.L.T.,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$8.50,Big Philly Cheesesteak,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$6.50,Big Philly Cheesesteak,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Big Philly Cheesesteak,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Black Forest Ham,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Black Forest Ham,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Black Forest Ham,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Chicken & Bacon Ranch Melt,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Chicken & Bacon Ranch Melt,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Chicken & Bacon Ranch Melt,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Cold Cut Combo,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Cold Cut Combo,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Cold Cut Combo,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Italian B.M.T.®,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Italian B.M.T.®,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Italian B.M.T.®,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Meatball Marinara,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Meatball Marinara,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Meatball Marinara,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Monterey Chicken Melt,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Monterey Chicken Melt,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Monterey Chicken Melt,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Oven Roasted Chicken,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Oven Roasted Chicken,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Oven Roasted Chicken,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Pizza Sub with Cheese,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Pizza Sub with Cheese,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Pizza Sub with Cheese,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Roast Beef,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Roast Beef,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Roast Beef,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Spicy Italian,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Spicy Italian,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Spicy Italian,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Steak & Cheese,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Steak & Cheese,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Steak & Cheese,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Subway Club®,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Subway Club®,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Subway Club®,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Subway Melt®,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Subway Melt®,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Subway Melt®,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.75,Sweet Onion Chicken Teriyaki,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.75,Sweet Onion Chicken Teriyaki,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Sweet Onion Chicken Teriyaki,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Tuna,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Tuna,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Tuna,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Breast,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Breast,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Breast,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Breast & Black Forest Ham,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Breast & Black Forest Ham,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Breast & Black Forest Ham,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$7.25,Turkey Italiano Melt,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Turkey Italiano Melt,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$6.25,Turkey Italiano Melt,2015-08-14 22:12:02.125000,CHOPPED SALAD
"3114 N Belt HwySt Joseph, MO 64506 US",$5.50,Veggie Delite®,2015-08-14 22:12:02.125000,FOOTLONG
"3114 N Belt HwySt Joseph, MO 64506 US",$4.00,Veggie Delite®,2015-08-14 22:12:02.125000,6-INCH SUB
"3114 N Belt HwySt Joseph, MO 64506 US",$5.25,Veggie Delite®,2015-08-14 22:12:02.125000,CHOPPED SALAD
